iter	Passed	Remaining
0	0	83
1	1	78
2	2	76
3	3	72
4	3	75
5	4	74
6	5	72
7	6	71
8	6	70
9	7	71
10	8	70
11	9	69
12	10	67
13	11	68
14	11	67
15	12	66
16	13	65
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	17	59
23	18	58
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	34	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	72	0
99	72	0
